Mã lớp	Tên lớp	Khóa	Sĩ số	Mã ngành
ICT1-K17A	Lớp ICT1 K17A	K17	52	ICT1
ICT1-K18A	Lớp ICT1 K18A	K18	36	ICT1
ICT1-K19A	Lớp ICT1 K19A	K19	44	ICT1
ICT1-K16B	Lớp ICT1 K16B	K16	52	ICT1
ICT1-K17B	Lớp ICT1 K17B	K17	36	ICT1
ICT1-K18B	Lớp ICT1 K18B	K18	44	ICT1
ICT1-K19B	Lớp ICT1 K19B	K19	52	ICT1
ICT1-K16C	Lớp ICT1 K16C	K16	36	ICT1
ICT2-K16A	Lớp ICT2 K16A	K16	32	ICT2
ICT2-K17A	Lớp ICT2 K17A	K17	40	ICT2
ICT2-K18A	Lớp ICT2 K18A	K18	48	ICT2
ICT2-K19A	Lớp ICT2 K19A	K19	32	ICT2
ICT2-K16B	Lớp ICT2 K16B	K16	40	ICT2
ICT2-K17B	Lớp ICT2 K17B	K17	48	ICT2
ICT2-K18B	Lớp ICT2 K18B	K18	32	ICT2
ICT2-K19B	Lớp ICT2 K19B	K19	40	ICT2
ICT2-K16C	Lớp ICT2 K16C	K16	48	ICT2
ICT3-K16A	Lớp ICT3 K16A	K16	44	ICT3
ICT3-K17A	Lớp ICT3 K17A	K17	52	ICT3
ICT3-K18A	Lớp ICT3 K18A	K18	36	ICT3
ICT3-K19A	Lớp ICT3 K19A	K19	44	ICT3
ICT3-K16B	Lớp ICT3 K16B	K16	52	ICT3
ICT3-K17B	Lớp ICT3 K17B	K17	36	ICT3
ICT3-K18B	Lớp ICT3 K18B	K18	44	ICT3
ICT3-K19B	Lớp ICT3 K19B	K19	52	ICT3
ICT3-K16C	Lớp ICT3 K16C	K16	36	ICT3
ICT4-K16A	Lớp ICT4 K16A	K16	32	ICT4
ICT4-K17A	Lớp ICT4 K17A	K17	40	ICT4
ICT4-K18A	Lớp ICT4 K18A	K18	48	ICT4
ICT4-K19A	Lớp ICT4 K19A	K19	32	ICT4
ICT4-K16B	Lớp ICT4 K16B	K16	40	ICT4
ICT4-K17B	Lớp ICT4 K17B	K17	48	ICT4
ICT4-K18B	Lớp ICT4 K18B	K18	32	ICT4
ICT4-K19B	Lớp ICT4 K19B	K19	40	ICT4
ICT4-K16C	Lớp ICT4 K16C	K16	48	ICT4
ICT5-K16A	Lớp ICT5 K16A	K16	44	ICT5
ICT5-K17A	Lớp ICT5 K17A	K17	52	ICT5
ICT5-K18A	Lớp ICT5 K18A	K18	36	ICT5
ICT5-K19A	Lớp ICT5 K19A	K19	44	ICT5
ICT5-K16B	Lớp ICT5 K16B	K16	52	ICT5
ICT5-K17B	Lớp ICT5 K17B	K17	36	ICT5
ICT5-K18B	Lớp ICT5 K18B	K18	44	ICT5
ICT5-K19B	Lớp ICT5 K19B	K19	52	ICT5
ICT5-K16C	Lớp ICT5 K16C	K16	36	ICT5
FIDT1-K16A	Lớp FIDT1 K16A	K16	32	FIDT1
FIDT1-K17A	Lớp FIDT1 K17A	K17	40	FIDT1
FIDT1-K18A	Lớp FIDT1 K18A	K18	48	FIDT1
FIDT1-K19A	Lớp FIDT1 K19A	K19	32	FIDT1
FIDT1-K16B	Lớp FIDT1 K16B	K16	40	FIDT1
FIDT1-K17B	Lớp FIDT1 K17B	K17	48	FIDT1
FIDT1-K18B	Lớp FIDT1 K18B	K18	32	FIDT1
FIDT1-K19B	Lớp FIDT1 K19B	K19	40	FIDT1
FIDT1-K16C	Lớp FIDT1 K16C	K16	48	FIDT1
FIDT2-K16A	Lớp FIDT2 K16A	K16	44	FIDT2
FIDT2-K17A	Lớp FIDT2 K17A	K17	52	FIDT2
FIDT2-K18A	Lớp FIDT2 K18A	K18	36	FIDT2
FIDT2-K19A	Lớp FIDT2 K19A	K19	44	FIDT2
FIDT2-K16B	Lớp FIDT2 K16B	K16	52	FIDT2
FIDT2-K17B	Lớp FIDT2 K17B	K17	36	FIDT2
FIDT2-K18B	Lớp FIDT2 K18B	K18	44	FIDT2
FIDT2-K19B	Lớp FIDT2 K19B	K19	52	FIDT2
FIDT2-K16C	Lớp FIDT2 K16C	K16	36	FIDT2
FIDT3-K16A	Lớp FIDT3 K16A	K16	32	FIDT3
FIDT3-K17A	Lớp FIDT3 K17A	K17	40	FIDT3
FIDT3-K18A	Lớp FIDT3 K18A	K18	48	FIDT3
FIDT3-K19A	Lớp FIDT3 K19A	K19	32	FIDT3
FIDT3-K16B	Lớp FIDT3 K16B	K16	40	FIDT3
FIDT3-K17B	Lớp FIDT3 K17B	K17	48	FIDT3
FIDT3-K18B	Lớp FIDT3 K18B	K18	32	FIDT3
FIDT3-K19B	Lớp FIDT3 K19B	K19	40	FIDT3
FIDT3-K16C	Lớp FIDT3 K16C	K16	48	FIDT3
FIDT4-K16A	Lớp FIDT4 K16A	K16	44	FIDT4
FIDT4-K17A	Lớp FIDT4 K17A	K17	52	FIDT4
FIDT4-K18A	Lớp FIDT4 K18A	K18	36	FIDT4
FIDT4-K19A	Lớp FIDT4 K19A	K19	44	FIDT4
FIDT4-K16B	Lớp FIDT4 K16B	K16	52	FIDT4
FIDT4-K17B	Lớp FIDT4 K17B	K17	36	FIDT4
FIDT4-K18B	Lớp FIDT4 K18B	K18	44	FIDT4
FIDT4-K19B	Lớp FIDT4 K19B	K19	52	FIDT4
FIDT4-K16C	Lớp FIDT4 K16C	K16	36	FIDT4
FIDT5-K16A	Lớp FIDT5 K16A	K16	32	FIDT5
FIDT5-K17A	Lớp FIDT5 K17A	K17	40	FIDT5
FIDT5-K18A	Lớp FIDT5 K18A	K18	48	FIDT5
FIDT5-K19A	Lớp FIDT5 K19A	K19	32	FIDT5
FIDT5-K16B	Lớp FIDT5 K16B	K16	40	FIDT5
FIDT5-K17B	Lớp FIDT5 K17B	K17	48	FIDT5
FIDT5-K18B	Lớp FIDT5 K18B	K18	32	FIDT5
FIDT5-K19B	Lớp FIDT5 K19B	K19	40	FIDT5
FIDT5-K16C	Lớp FIDT5 K16C	K16	48	FIDT5
FIDT6-K16A	Lớp FIDT6 K16A	K16	44	FIDT6
FIDT6-K17A	Lớp FIDT6 K17A	K17	52	FIDT6
FIDT6-K18A	Lớp FIDT6 K18A	K18	36	FIDT6
FIDT6-K19A	Lớp FIDT6 K19A	K19	44	FIDT6
FIDT6-K16B	Lớp FIDT6 K16B	K16	52	FIDT6
FIDT6-K17B	Lớp FIDT6 K17B	K17	36	FIDT6
FIDT6-K18B	Lớp FIDT6 K18B	K18	44	FIDT6
FIDT6-K19B	Lớp FIDT6 K19B	K19	52	FIDT6
FIDT6-K16C	Lớp FIDT6 K16C	K16	36	FIDT6
EEE1-K16A	Lớp EEE1 K16A	K16	32	EEE1
EEE1-K17A	Lớp EEE1 K17A	K17	40	EEE1
EEE1-K18A	Lớp EEE1 K18A	K18	48	EEE1
EEE1-K19A	Lớp EEE1 K19A	K19	32	EEE1
EEE1-K16B	Lớp EEE1 K16B	K16	40	EEE1
EEE1-K17B	Lớp EEE1 K17B	K17	48	EEE1
EEE1-K18B	Lớp EEE1 K18B	K18	32	EEE1
EEE1-K19B	Lớp EEE1 K19B	K19	40	EEE1
EEE1-K16C	Lớp EEE1 K16C	K16	48	EEE1
EEE2-K16A	Lớp EEE2 K16A	K16	44	EEE2
EEE2-K17A	Lớp EEE2 K17A	K17	52	EEE2
EEE2-K18A	Lớp EEE2 K18A	K18	36	EEE2
EEE2-K19A	Lớp EEE2 K19A	K19	44	EEE2
EEE2-K16B	Lớp EEE2 K16B	K16	52	EEE2
EEE2-K17B	Lớp EEE2 K17B	K17	36	EEE2
EEE2-K18B	Lớp EEE2 K18B	K18	44	EEE2
EEE2-K19B	Lớp EEE2 K19B	K19	52	EEE2
EEE2-K16C	Lớp EEE2 K16C	K16	36	EEE2
EEE3-K16A	Lớp EEE3 K16A	K16	32	EEE3
EEE3-K17A	Lớp EEE3 K17A	K17	40	EEE3
EEE3-K18A	Lớp EEE3 K18A	K18	48	EEE3
EEE3-K19A	Lớp EEE3 K19A	K19	32	EEE3
EEE3-K16B	Lớp EEE3 K16B	K16	40	EEE3
EEE3-K17B	Lớp EEE3 K17B	K17	48	EEE3
EEE3-K18B	Lớp EEE3 K18B	K18	32	EEE3
EEE3-K19B	Lớp EEE3 K19B	K19	40	EEE3
EEE3-K16C	Lớp EEE3 K16C	K16	48	EEE3
EEE4-K16A	Lớp EEE4 K16A	K16	44	EEE4
EEE4-K17A	Lớp EEE4 K17A	K17	52	EEE4
EEE4-K18A	Lớp EEE4 K18A	K18	36	EEE4
EEE4-K19A	Lớp EEE4 K19A	K19	44	EEE4
EEE4-K16B	Lớp EEE4 K16B	K16	52	EEE4
EEE4-K17B	Lớp EEE4 K17B	K17	36	EEE4
EEE4-K18B	Lớp EEE4 K18B	K18	44	EEE4
EEE4-K19B	Lớp EEE4 K19B	K19	52	EEE4
EEE4-K16C	Lớp EEE4 K16C	K16	36	EEE4
EEE-AI-K16A	Lớp EEE-AI K16A	K16	32	EEE-AI
EEE-AI-K17A	Lớp EEE-AI K17A	K17	40	EEE-AI
EEE-AI-K18A	Lớp EEE-AI K18A	K18	48	EEE-AI
EEE-AI-K19A	Lớp EEE-AI K19A	K19	32	EEE-AI
EEE-AI-K16B	Lớp EEE-AI K16B	K16	40	EEE-AI
EEE-AI-K17B	Lớp EEE-AI K17B	K17	48	EEE-AI
EEE-AI-K18B	Lớp EEE-AI K18B	K18	32	EEE-AI
EEE-AI-K19B	Lớp EEE-AI K19B	K19	40	EEE-AI
EEE-AI-K16C	Lớp EEE-AI K16C	K16	48	EEE-AI
MEM1-K16A	Lớp MEM1 K16A	K16	44	MEM1
MEM1-K17A	Lớp MEM1 K17A	K17	52	MEM1
MEM1-K18A	Lớp MEM1 K18A	K18	36	MEM1
MEM1-K19A	Lớp MEM1 K19A	K19	44	MEM1
MEM1-K16B	Lớp MEM1 K16B	K16	52	MEM1
MEM1-K17B	Lớp MEM1 K17B	K17	36	MEM1
MEM1-K18B	Lớp MEM1 K18B	K18	44	MEM1
MEM1-K19B	Lớp MEM1 K19B	K19	52	MEM1
MEM1-K16C	Lớp MEM1 K16C	K16	36	MEM1
MEM2-K16A	Lớp MEM2 K16A	K16	32	MEM2
MEM2-K17A	Lớp MEM2 K17A	K17	40	MEM2
MEM2-K18A	Lớp MEM2 K18A	K18	48	MEM2
MEM2-K19A	Lớp MEM2 K19A	K19	32	MEM2
MEM2-K16B	Lớp MEM2 K16B	K16	40	MEM2
MEM2-K17B	Lớp MEM2 K17B	K17	48	MEM2
MEM2-K18B	Lớp MEM2 K18B	K18	32	MEM2
MEM2-K19B	Lớp MEM2 K19B	K19	40	MEM2
MEM2-K16C	Lớp MEM2 K16C	K16	48	MEM2
VEE1-K16A	Lớp VEE1 K16A	K16	44	VEE1
VEE1-K17A	Lớp VEE1 K17A	K17	52	VEE1
VEE1-K18A	Lớp VEE1 K18A	K18	36	VEE1
VEE1-K19A	Lớp VEE1 K19A	K19	44	VEE1
VEE1-K16B	Lớp VEE1 K16B	K16	52	VEE1
VEE1-K17B	Lớp VEE1 K17B	K17	36	VEE1
VEE1-K18B	Lớp VEE1 K18B	K18	44	VEE1
VEE1-K19B	Lớp VEE1 K19B	K19	52	VEE1
VEE1-K16C	Lớp VEE1 K16C	K16	36	VEE1
VEE2-K16A	Lớp VEE2 K16A	K16	32	VEE2
VEE2-K17A	Lớp VEE2 K17A	K17	40	VEE2
VEE2-K18A	Lớp VEE2 K18A	K18	48	VEE2
VEE2-K19A	Lớp VEE2 K19A	K19	32	VEE2
VEE2-K16B	Lớp VEE2 K16B	K16	40	VEE2
VEE2-K17B	Lớp VEE2 K17B	K17	48	VEE2
VEE2-K18B	Lớp VEE2 K18B	K18	32	VEE2
VEE2-K19B	Lớp VEE2 K19B	K19	40	VEE2
VEE2-K16C	Lớp VEE2 K16C	K16	48	VEE2
VEE3-K16A	Lớp VEE3 K16A	K16	44	VEE3
VEE3-K17A	Lớp VEE3 K17A	K17	52	VEE3
VEE3-K18A	Lớp VEE3 K18A	K18	36	VEE3
VEE3-K19A	Lớp VEE3 K19A	K19	44	VEE3
VEE3-K16B	Lớp VEE3 K16B	K16	52	VEE3
VEE3-K17B	Lớp VEE3 K17B	K17	36	VEE3
VEE3-K18B	Lớp VEE3 K18B	K18	44	VEE3
VEE3-K19B	Lớp VEE3 K19B	K19	52	VEE3
VEE3-K16C	Lớp VEE3 K16C	K16	36	VEE3
MSE1-K16A	Lớp MSE1 K16A	K16	32	MSE1
MSE1-K17A	Lớp MSE1 K17A	K17	40	MSE1
MSE1-K18A	Lớp MSE1 K18A	K18	48	MSE1
MSE1-K19A	Lớp MSE1 K19A	K19	32	MSE1
MSE1-K16B	Lớp MSE1 K16B	K16	40	MSE1
MSE1-K17B	Lớp MSE1 K17B	K17	48	MSE1
MSE1-K18B	Lớp MSE1 K18B	K18	32	MSE1
MSE1-K19B	Lớp MSE1 K19B	K19	40	MSE1
MSE1-K16C	Lớp MSE1 K16C	K16	48	MSE1
MSE-AI-K16A	Lớp MSE-AI K16A	K16	44	MSE-AI
MSE-AI-K17A	Lớp MSE-AI K17A	K17	52	MSE-AI
MSE-AI-K18A	Lớp MSE-AI K18A	K18	36	MSE-AI
MSE-AI-K19A	Lớp MSE-AI K19A	K19	44	MSE-AI
MSE-AI-K16B	Lớp MSE-AI K16B	K16	52	MSE-AI
MSE-AI-K17B	Lớp MSE-AI K17B	K17	36	MSE-AI
MSE-AI-K18B	Lớp MSE-AI K18B	K18	44	MSE-AI
MSE-AI-K19B	Lớp MSE-AI K19B	K19	52	MSE-AI
MSE-AI-K16C	Lớp MSE-AI K16C	K16	36	MSE-AI
MSE-IC-K16A	Lớp MSE-IC K16A	K16	32	MSE-IC
MSE-IC-K17A	Lớp MSE-IC K17A	K17	40	MSE-IC
MSE-IC-K18A	Lớp MSE-IC K18A	K18	48	MSE-IC
MSE-IC-K19A	Lớp MSE-IC K19A	K19	32	MSE-IC
MSE-IC-K16B	Lớp MSE-IC K16B	K16	40	MSE-IC
MSE-IC-K17B	Lớp MSE-IC K17B	K17	48	MSE-IC
MSE-IC-K18B	Lớp MSE-IC K18B	K18	32	MSE-IC
MSE-IC-K19B	Lớp MSE-IC K19B	K19	40	MSE-IC
MSE-IC-K16C	Lớp MSE-IC K16C	K16	48	MSE-IC
BIO1-K16A	Lớp BIO1 K16A	K16	44	BIO1
BIO1-K17A	Lớp BIO1 K17A	K17	52	BIO1
BIO1-K18A	Lớp BIO1 K18A	K18	36	BIO1
BIO1-K19A	Lớp BIO1 K19A	K19	44	BIO1
BIO1-K16B	Lớp BIO1 K16B	K16	52	BIO1
BIO1-K17B	Lớp BIO1 K17B	K17	36	BIO1
BIO1-K18B	Lớp BIO1 K18B	K18	44	BIO1
BIO1-K19B	Lớp BIO1 K19B	K19	52	BIO1
BIO1-K16C	Lớp BIO1 K16C	K16	36	BIO1
CHE1-K16A	Lớp CHE1 K16A	K16	32	CHE1
CHE1-K17A	Lớp CHE1 K17A	K17	40	CHE1
CHE1-K18A	Lớp CHE1 K18A	K18	48	CHE1
CHE1-K19A	Lớp CHE1 K19A	K19	32	CHE1
CHE1-K16B	Lớp CHE1 K16B	K16	40	CHE1
CHE1-K17B	Lớp CHE1 K17B	K17	48	CHE1
CHE1-K18B	Lớp CHE1 K18B	K18	32	CHE1
CHE1-K19B	Lớp CHE1 K19B	K19	40	CHE1
CHE1-K16C	Lớp CHE1 K16C	K16	48	CHE1
FBE1-K16A	Lớp FBE1 K16A	K16	44	FBE1
FBE1-K17A	Lớp FBE1 K17A	K17	52	FBE1
FBE1-K18A	Lớp FBE1 K18A	K18	36	FBE1
FBE1-K19A	Lớp FBE1 K19A	K19	44	FBE1
FBE1-K16B	Lớp FBE1 K16B	K16	52	FBE1
FBE1-K17B	Lớp FBE1 K17B	K17	36	FBE1
FBE1-K18B	Lớp FBE1 K18B	K18	44	FBE1
FBE1-K19B	Lớp FBE1 K19B	K19	52	FBE1
FBE1-K16C	Lớp FBE1 K16C	K16	36	FBE1
FBE4-K16A	Lớp FBE4 K16A	K16	32	FBE4
FBE4-K17A	Lớp FBE4 K17A	K17	40	FBE4
FBE4-K18A	Lớp FBE4 K18A	K18	48	FBE4
FBE4-K19A	Lớp FBE4 K19A	K19	32	FBE4
FBE4-K16B	Lớp FBE4 K16B	K16	40	FBE4
FBE4-K17B	Lớp FBE4 K17B	K17	48	FBE4
FBE4-K18B	Lớp FBE4 K18B	K18	32	FBE4
FBE4-K19B	Lớp FBE4 K19B	K19	40	FBE4
FBE4-K16C	Lớp FBE4 K16C	K16	48	FBE4
FBE8-K16A	Lớp FBE8 K16A	K16	44	FBE8
FBE8-K17A	Lớp FBE8 K17A	K17	52	FBE8
FBE8-K18A	Lớp FBE8 K18A	K18	36	FBE8
FBE8-K19A	Lớp FBE8 K19A	K19	44	FBE8
FBE8-K16B	Lớp FBE8 K16B	K16	52	FBE8
FBE8-K17B	Lớp FBE8 K17B	K17	36	FBE8
FBE8-K18B	Lớp FBE8 K18B	K18	44	FBE8
FBE8-K19B	Lớp FBE8 K19B	K19	52	FBE8
FBE8-K16C	Lớp FBE8 K16C	K16	36	FBE8
FBE2-K16A	Lớp FBE2 K16A	K16	32	FBE2
FBE2-K17A	Lớp FBE2 K17A	K17	40	FBE2
FBE2-K18A	Lớp FBE2 K18A	K18	48	FBE2
FBE2-K19A	Lớp FBE2 K19A	K19	32	FBE2
FBE2-K16B	Lớp FBE2 K16B	K16	40	FBE2
FBE2-K17B	Lớp FBE2 K17B	K17	48	FBE2
FBE2-K18B	Lớp FBE2 K18B	K18	32	FBE2
FBE2-K19B	Lớp FBE2 K19B	K19	40	FBE2
FBE2-K16C	Lớp FBE2 K16C	K16	48	FBE2
FBE3-K16A	Lớp FBE3 K16A	K16	44	FBE3
FBE3-K17A	Lớp FBE3 K17A	K17	52	FBE3
FBE3-K18A	Lớp FBE3 K18A	K18	36	FBE3
FBE3-K19A	Lớp FBE3 K19A	K19	44	FBE3
FBE3-K16B	Lớp FBE3 K16B	K16	52	FBE3
FBE3-K17B	Lớp FBE3 K17B	K17	36	FBE3
FBE3-K18B	Lớp FBE3 K18B	K18	44	FBE3
FBE3-K19B	Lớp FBE3 K19B	K19	52	FBE3
FBE3-K16C	Lớp FBE3 K16C	K16	36	FBE3
FBE5-K16A	Lớp FBE5 K16A	K16	32	FBE5
FBE5-K17A	Lớp FBE5 K17A	K17	40	FBE5
FBE5-K18A	Lớp FBE5 K18A	K18	48	FBE5
FBE5-K19A	Lớp FBE5 K19A	K19	32	FBE5
FBE5-K16B	Lớp FBE5 K16B	K16	40	FBE5
FBE5-K17B	Lớp FBE5 K17B	K17	48	FBE5
FBE5-K18B	Lớp FBE5 K18B	K18	32	FBE5
FBE5-K19B	Lớp FBE5 K19B	K19	40	FBE5
FBE5-K16C	Lớp FBE5 K16C	K16	48	FBE5
FBE9-K16A	Lớp FBE9 K16A	K16	44	FBE9
FBE9-K17A	Lớp FBE9 K17A	K17	52	FBE9
FBE9-K18A	Lớp FBE9 K18A	K18	36	FBE9
FBE9-K19A	Lớp FBE9 K19A	K19	44	FBE9
FBE9-K16B	Lớp FBE9 K16B	K16	52	FBE9
FBE9-K17B	Lớp FBE9 K17B	K17	36	FBE9
FBE9-K18B	Lớp FBE9 K18B	K18	44	FBE9
FBE9-K19B	Lớp FBE9 K19B	K19	52	FBE9
FBE9-K16C	Lớp FBE9 K16C	K16	36	FBE9
FBE6-K16A	Lớp FBE6 K16A	K16	32	FBE6
FBE6-K17A	Lớp FBE6 K17A	K17	40	FBE6
FBE6-K18A	Lớp FBE6 K18A	K18	48	FBE6
FBE6-K19A	Lớp FBE6 K19A	K19	32	FBE6
FBE6-K16B	Lớp FBE6 K16B	K16	40	FBE6
FBE6-K17B	Lớp FBE6 K17B	K17	48	FBE6
FBE6-K18B	Lớp FBE6 K18B	K18	32	FBE6
FBE6-K19B	Lớp FBE6 K19B	K19	40	FBE6
FBE7-K16A	Lớp FBE7 K16A	K16	43	FBE7
FBE7-K17A	Lớp FBE7 K17A	K17	51	FBE7
FBE7-K18A	Lớp FBE7 K18A	K18	35	FBE7
FBE7-K19A	Lớp FBE7 K19A	K19	43	FBE7
FBE7-K16B	Lớp FBE7 K16B	K16	51	FBE7
FBE7-K17B	Lớp FBE7 K17B	K17	35	FBE7
FBE7-K18B	Lớp FBE7 K18B	K18	43	FBE7
FBE7-K19B	Lớp FBE7 K19B	K19	51	FBE7
FTS1-K16A	Lớp FTS1 K16A	K16	54	FTS1
FTS1-K17A	Lớp FTS1 K17A	K17	38	FTS1
FTS1-K18A	Lớp FTS1 K18A	K18	46	FTS1
FTS1-K19A	Lớp FTS1 K19A	K19	54	FTS1
FTS1-K16B	Lớp FTS1 K16B	K16	38	FTS1
FTS1-K17B	Lớp FTS1 K17B	K17	46	FTS1
FTS1-K18B	Lớp FTS1 K18B	K18	54	FTS1
FTS1-K19B	Lớp FTS1 K19B	K19	38	FTS1
FTS2-K16A	Lớp FTS2 K16A	K16	41	FTS2
FTS2-K17A	Lớp FTS2 K17A	K17	49	FTS2
FTS2-K18A	Lớp FTS2 K18A	K18	33	FTS2
FTS2-K19A	Lớp FTS2 K19A	K19	41	FTS2
FTS2-K16B	Lớp FTS2 K16B	K16	49	FTS2
FTS2-K17B	Lớp FTS2 K17B	K17	33	FTS2
FTS2-K18B	Lớp FTS2 K18B	K18	41	FTS2
FTS2-K19B	Lớp FTS2 K19B	K19	49	FTS2
FTS3-K16A	Lớp FTS3 K16A	K16	52	FTS3
FTS3-K17A	Lớp FTS3 K17A	K17	36	FTS3
FTS3-K18A	Lớp FTS3 K18A	K18	44	FTS3
FTS3-K19A	Lớp FTS3 K19A	K19	52	FTS3
